class;width;height;xmin;ymin;xmax;ymax
A10;4096;2731;72;135;4096;2731
A10;3592;1945;1746;954;1806;1031
A10;1000;1000;181;864;224;881
A10;1000;1000;142;875;184;892
A10;1000;1000;87;888;129;905
A10;1000;1000;611;857;638;900
A10;940;643;43;216;891;435
A10;940;643;98;208;801;387
A10;4096;2926;0;0;2753;2536
A10;3156;1804;1035;851;2134;1084
A10;4096;2731;0;441;4096;2731
A10;3583;1944;570;303;621;358
A10;1536;1024;667;695;866;899
A10;1536;1024;585;266;1340;623
A10;1536;1098;497;226;699;277
A10;4032;3024;2250;1805;2485;1936
A10;3010;1471;397;581;596;708
A10;1200;675;272;252;324;297
A10;1829;2560;294;1216;573;1271
A10;3589;1941;2790;1252;2832;1307
A10;3589;1941;2740;1430;2782;1484
A10;3000;2002;314;420;2951;1169
A10;3000;2002;0;993;300;1159
A10;1920;1372;211;366;1337;807
A10;4096;2926;887;442;1227;514
A10;1600;900;946;299;1118;368
A10;2950;1468;1793;191;1883;233
A10;1170;1134;0;0;1170;1134
A10;1829;2560;430;629;654;1724
A10;1000;667;489;207;594;501
A10;436;639;192;442;232;466
A10;960;640;649;283;706;354
A10;320;240;0;69;239;152
A10;2048;1366;1231;667;1525;815
A10;1920;1080;528;807;879;963
A10;1650;1100;47;550;395;626
A10;1650;1100;916;580;1122;627
A10;2840;1860;0;0;2840;1578
A10;2048;1536;449;824;488;849
A10;2048;1536;1452;620;1499;647
A10;4096;2735;0;689;4034;1822
A10;1920;1371;289;591;568;849
A10;940;529;398;121;519;168
A10;6048;4032;2383;2248;5608;3129
A10;1280;852;702;350;1215;530
A10;1280;852;319;421;554;500
A10;1920;1080;323;147;1682;909
A10;736;460;112;239;597;413
A10;1770;1770;607;892;1472;1171
A10;4854;3231;1644;951;4587;2115
A10;680;486;327;139;500;311
A10;1440;959;107;168;252;257
A10;3866;2761;0;0;3866;2249
A10;1920;1080;161;786;436;920
A10;2851;1519;617;478;790;605
A10;1000;714;163;283;360;336
A10;4688;3120;0;0;4688;3120
A10;2048;1364;1068;542;1148;625
A10;2048;1364;170;839;587;947
A10;1200;675;335;143;923;569
A10;2347;1320;880;1028;1109;1140
A10;1920;1080;0;293;1920;1080
A10;1920;1080;1740;328;1920;391
A10;1657;2048;446;158;1129;1700
A10;3582;1950;3450;919;3507;981
A10;1280;854;349;623;991;821
A10;4096;2731;2957;2111;4096;2704
A10;4096;2731;616;422;802;474
A10;4096;2731;739;920;1831;1205
A10;2496;1693;434;359;601;496
A10;2496;1693;414;93;576;226
A10;1024;685;381;143;690;355
A10;1475;2000;872;353;1179;512
A10;5757;2670;1236;1149;1959;1383
A10;5757;2670;2073;1236;2830;1483
A10;5757;2670;3174;1150;3904;1385
A10;5757;2670;4038;1109;4750;1334
A10;2048;1364;990;855;1402;962
A10;1200;800;8;249;1196;577
A10;900;1351;23;236;881;1178
A10;2048;1536;1010;1234;1090;1302
A10;1536;864;1257;95;1318;117
A10;1920;1080;95;143;702;727
A10;1199;737;653;384;943;462
A10;1024;683;88;146;986;453
A10;1080;1350;221;430;396;635
A10;1800;1200;0;510;560;798
A10;1829;2560;371;1004;688;1755
A10;1280;698;90;184;179;263
A10;1280;698;128;45;216;112
A10;4096;2725;2369;1255;3094;2022
A10;1440;1791;0;491;1440;1549
A10;1280;853;548;491;1081;697
A10;1280;853;568;260;1066;442
A10;1280;853;161;361;673;551
A10;3574;1945;130;443;180;487
A10;3574;1945;77;406;127;455
A10;3574;1945;178;474;228;520
A10;3574;1945;255;432;304;484
A10;3574;1945;26;371;82;420
A10;2048;1536;883;105;968;179
A10;4096;2661;1015;888;3028;1713
A10;1680;1120;55;548;147;566
A10;2352;1582;534;1416;721;1548
A10;1920;1080;1651;461;1912;721
A10;2048;1364;599;139;764;955
A10;2048;1364;185;278;571;1025
A10;1200;800;191;330;289;358
A10;1200;800;171;329;273;359
A10;1280;853;117;3;949;451
A10;1280;853;156;260;1150;849
A10;1280;720;429;273;631;321
A10;1280;720;67;289;261;336
A10;1200;751;183;390;973;673
A10;500;500;70;171;398;492
A10;500;500;159;86;382;278
A10;2493;1675;781;1503;958;1635
A10;2511;1696;1766;1015;1963;1160
A10;1200;675;381;281;739;423
A10;1920;1080;1481;208;1920;868
A10;1280;864;154;118;1177;764
A10;1781;1259;964;730;1692;962
A10;3008;2000;1182;685;1583;1259
A10;1200;800;548;318;1096;451
A10;1920;1372;283;272;1722;550
A10;1536;1098;0;329;1536;1098
A10;1280;853;103;94;1097;406
A10;1920;1080;809;282;1645;654
A10;1023;682;0;183;1023;517
A10;1023;682;410;136;680;191
A10;7080;2575;6321;271;6759;383
A10;7080;2575;1140;1075;2212;1390
A10;1280;895;519;526;854;679
A10;1280;895;457;373;766;510
A10;720;1280;0;396;720;1244
A10;2048;1364;984;865;1008;892
A10;1440;960;824;435;926;464
A10;1440;960;788;364;914;410
A10;1440;960;733;306;888;365
A10;1440;960;664;224;863;313
A10;4096;2734;0;0;4096;2734
A10;1200;900;0;114;1105;576
A10;1000;1000;247;849;356;877
A10;1000;1000;370;839;479;867
A10;1000;1000;524;837;632;866
A10;1000;1000;653;850;762;878
A10;3942;2627;2463;1687;2814;1799
A10;2048;1536;1143;279;1211;408
A10;1920;1280;1152;370;1324;419
A10;1920;1280;1256;424;1409;471
A10;2250;1500;1628;150;1956;458
A10;2509;1684;1938;808;2121;997
A10;1280;698;775;374;858;449
A10;1280;698;624;373;707;449
A10;1280;698;467;373;550;450
A10;1280;698;159;365;243;443
A10;640;431;323;93;567;164
A10;640;431;100;101;279;159
A10;2791;1925;1937;283;2607;932
A10;1920;2400;840;505;1225;964
A10;2048;1365;634;24;880;254
A10;900;1200;418;551;479;610
A10;4096;2657;65;306;4096;2221
A10;3838;1906;3722;66;3772;110
A10;2100;1520;455;280;1728;647
A10;2048;1362;0;180;1547;1362
A10;2048;1362;1212;565;1303;670
A10;2048;1362;895;546;1119;645
A10;1024;768;320;411;352;422
A10;2250;1500;977;63;1301;364
A10;1024;768;373;410;424;423
A10;2250;1500;24;1046;324;1341
A10;2048;1152;148;241;1991;824
A10;1000;563;0;350;256;513
A10;1000;563;378;181;857;305
A10;2400;1600;0;1313;353;1428
A10;2400;1600;1190;17;2027;1571
A10;2048;1362;344;650;934;952
A10;1000;563;91;232;592;402
A10;1000;563;518;95;850;356
A10;4068;2458;1381;1084;4068;2384
A10;4068;2458;2941;2042;3546;2202
A10;4068;2458;2507;2075;2978;2203
A10;4068;2458;2096;2100;2473;2206
A10;4068;2458;1882;2114;2183;2206
A10;4068;2458;691;1846;2077;2235
A10;4068;2458;511;1978;1479;2210
A10;1200;797;543;381;678;494
A10;1000;667;432;329;525;356
A10;1000;667;470;387;565;411
A10;1280;852;1032;94;1213;174
A10;1280;852;794;118;981;201
A10;2250;1500;1309;1019;1473;1171
A10;1024;768;449;409;492;422
A10;1280;669;719;266;985;344
A10;1200;798;269;287;1182;566
A10;1848;2804;0;0;1848;2202
A10;1829;2560;1029;232;1295;301
A10;1280;698;896;45;943;94
A10;1280;698;743;351;787;390
A10;1280;698;702;388;746;430
A10;1280;698;664;430;706;471
A10;1280;698;583;512;626;555
A10;1600;800;280;0;1600;316
A10;2560;1700;136;608;796;887
A10;2560;1700;1765;641;2434;916
A10;1920;1282;932;387;1666;595
A10;1920;1282;272;691;1731;1041
A10;5021;2398;2585;896;3671;1199
A10;7099;3188;1559;1653;3798;2341
A10;1000;563;148;275;379;479
A10;1920;1280;771;68;1048;192
A10;1000;1500;477;327;671;1007
A10;4706;3132;1441;884;4598;1804
A10;1920;1280;1021;288;1230;362
A10;1169;1164;0;0;1169;1156
A10;3680;5520;1829;1703;3680;3047
A10;1684;1465;833;669;1096;1002
A10;1684;1465;583;514;634;549
A10;1200;798;0;180;1200;681
A10;3507;2505;1328;697;2194;1113
A10;2048;1362;798;193;1679;412
A10;1600;1280;435;424;1246;701
A10;621;414;194;0;621;414
A10;621;414;33;164;163;208
A10;1200;676;670;188;1040;275
A10;1200;749;765;133;851;233
A10;2509;1705;513;724;731;897
A10;2048;1536;499;533;536;575
A10;3793;1951;716;1259;772;1306
A10;2048;1152;1127;453;1313;673
A10;3585;1944;3067;664;3110;709
A10;1200;800;0;56;1200;561
A10;2515;1699;1301;1157;1484;1287
A10;3520;1828;1925;569;3325;872
A10;3520;1828;655;785;1153;892
A10;2670;2136;312;707;2473;1225
A10;2670;2136;1236;1162;2479;1496
A10;2048;1362;418;507;660;710
A10;2391;1633;1520;506;1673;674
A10;1756;1200;65;320;1756;804
A10;3793;1947;1579;134;1612;164
A10;2082;1140;1203;208;1299;318
A10;1200;801;367;304;511;399
A10;2514;1686;1679;133;1857;273
A10;1920;1280;0;611;595;779
A10;1920;1280;338;82;1920;860
A10;720;720;428;0;720;340
A10;1000;667;332;205;463;605
A10;3589;1941;753;417;868;524
A10;3589;1941;372;239;487;349
A10;3589;1941;1585;813;1698;920
A10;3589;1941;1916;966;2032;1075
A10;3589;1941;918;496;1034;606
A10;3589;1941;1251;654;1365;760
A10;3589;1941;586;337;703;446
A10;3589;1941;133;128;248;236
A10;3589;1941;2082;1044;2197;1155
A10;3589;1941;3248;1594;3364;1702
A10;3589;1941;2749;1357;2864;1467
A10;3589;1941;3415;1671;3530;1780
A10;3589;1941;1419;733;1531;838
A10;1200;801;550;316;693;406
A10;3589;1941;2914;1435;3030;1544
A10;1200;801;756;250;888;344
A10;1066;1600;274;1143;789;1415
A10;1000;667;290;211;363;230
A10;4782;3379;1043;528;1712;729
A10;4782;3379;1884;615;2584;825
A10;4782;3379;2846;582;3516;778
A10;4782;3379;3642;553;4295;746
A10;5520;3680;2027;1684;3631;2074
A10;5196;2470;1472;1490;1917;1642
A10;1600;1067;141;439;1272;718
A10;2236;540;1446;99;2236;398
A10;3000;1996;605;685;1399;855
A10;3276;2180;175;132;3093;1910
A10;3276;2180;0;1027;543;1296
A10;1066;1600;300;99;855;433
A10;2323;1555;982;355;1668;482
A10;2323;1555;866;420;1731;579
A10;2323;1555;662;502;1827;779
A10;2323;1555;191;702;2011;1203
A10;1066;1600;247;470;780;752
A10;1066;1600;229;853;753;1119
A10;1200;801;938;167;1070;261
A10;1000;667;398;214;471;233
A10;3589;1941;1752;890;1867;999
A10;1200;900;414;182;1064;642
A10;1000;779;165;560;285;601
A10;3795;1950;1104;414;1161;465
A10;3795;1950;834;644;890;695
A10;3008;1960;902;752;2440;1170
A10;1920;1283;1176;320;1831;562
A10;1920;1283;107;524;827;827
A10;650;500;12;51;306;164
A10;1280;698;1009;57;1060;108
A10;2520;1689;865;1226;1040;1369
A10;1280;698;238;482;306;540
A10;1280;698;121;557;182;622
A10;1440;1438;979;158;1077;195
A10;1829;2560;939;167;1052;202
A10;3506;2504;182;999;1538;1701
A10;1440;959;735;309;900;377
A10;2222;1448;116;877;1057;1148
A10;3730;1663;1455;450;1640;633
A10;2048;1630;0;625;2048;1441
A10;2754;1929;490;40;877;396
A10;2048;1365;91;830;317;882
A10;3589;1941;2582;1280;2698;1390
A10;2048;1365;595;844;856;918
A10;1000;667;303;281;436;347
A10;4096;2730;3208;370;3389;563
A10;1080;1920;196;821;912;1020
A10;2048;1536;579;625;637;666
A10;4096;2730;569;605;3926;1640
A10;2409;1740;1713;856;1912;990
A10;3586;1950;3213;425;3261;472
A10;3586;1950;2142;1531;2192;1585
A10;1200;755;82;206;1099;498
A10;2048;2048;1127;1590;1985;1899
A10;1254;705;0;391;1254;705
A10;1254;705;195;313;266;331
A10;3535;1827;3326;913;3385;971
A10;3535;1827;3314;607;3373;665
A10;1254;705;894;272;987;298
A10;2512;1681;1042;1060;1241;1251
A10;2048;1504;630;441;781;549
A10;1024;675;461;187;506;244
A10;1000;667;524;412;649;474
A10;1000;667;412;343;544;408
A10;1000;667;202;220;340;290
A10;2754;1929;28;46;408;382
A10;5616;3744;2702;1833;2849;1931
A10;1920;1080;545;44;680;119
A10;900;1200;396;567;442;604
A10;800;578;435;15;515;94
A10;644;960;0;0;644;951
A10;1200;675;33;244;310;335
A10;1200;675;712;174;940;388
A10;2511;1705;104;646;507;910
A10;4092;2240;2937;458;3059;490
A10;4092;2240;2704;335;2780;392
A10;3998;2249;152;1176;2043;1762
A10;4096;2731;2084;546;2637;973
A10;3998;2249;632;1237;2257;1753
A10;3998;2249;1386;1287;2903;1737
A10;3998;2249;1983;1316;3292;1730
A10;3998;2249;2407;1343;3523;1722
A10;3998;2249;2701;1363;3778;1717
A10;2835;1477;55;675;245;817
A10;3634;1857;3318;590;3417;683
A10;3634;1857;3482;534;3581;628
A10;3634;1857;2659;816;2758;910
A10;4096;2926;2808;1711;3105;1813
A10;3634;1857;2493;873;2593;965
A10;4805;3198;0;0;4805;3187
A10;5617;2933;1877;1481;3281;1861
A10;1199;798;428;288;795;359
A10;1199;798;102;133;128;152
A10;4096;2457;539;1312;1711;1645
A10;2100;1256;430;0;2100;1210
A10;4096;2731;969;19;3293;2390
A10;3583;1939;1342;314;1385;359
A10;3583;1939;1830;730;1872;779
A10;3583;1939;1680;969;1723;1019
A10;3583;1939;1532;1211;1575;1259
A10;3583;1939;1488;315;1530;361
A10;3583;1939;1606;1090;1649;1139
A10;3583;1939;1457;1330;1500;1380
A10;3583;1939;1754;849;1798;898
A10;2048;1362;1149;315;1285;355
A10;2048;1366;951;489;1068;727
A10;1920;1080;1341;175;1416;239
A10;1920;1080;449;79;805;422
A10;1536;896;279;369;1521;737
A10;2204;1356;657;506;1732;875
A10;5617;2933;4407;1103;5184;1297
A10;1920;1080;372;121;473;177
A10;3634;1857;2822;758;2921;851
A10;1600;1067;761;624;840;687
A10;1200;627;6;0;1200;564
A10;2048;1364;1091;816;1378;999
A10;1280;636;8;262;170;390
A10;1280;636;208;260;369;386
A10;1280;636;420;257;578;381
A10;1280;636;623;256;783;380
A10;1280;636;1063;250;1221;374
A10;1000;665;218;56;926;323
A10;1600;1065;832;422;1495;584
A10;1100;550;96;209;796;398
A10;1280;742;0;318;225;377
A10;1280;742;132;292;463;379
A10;1280;742;399;255;906;386
A10;1280;742;800;334;928;371
A10;1280;742;1162;337;1277;370
A10;1280;742;1091;340;1194;370
A10;4096;2925;2299;1992;3053;2295
A10;2048;1362;1210;686;1469;757
A10;2048;1362;1161;55;1239;92
A10;1536;864;969;679;1121;708
A10;1200;797;302;205;588;473
A10;1536;864;269;101;544;158
A10;1024;683;450;275;1024;485
A10;2144;1206;281;676;1432;1028
A10;3583;1941;2872;591;2968;687
A10;3583;1941;3050;1435;3144;1531
A10;1440;1800;288;1051;1161;1745
A10;1280;853;519;296;869;396
A10;1280;853;626;464;1132;623
A10;1280;853;418;413;866;547
A10;1280;853;111;378;524;506
A10;3793;1948;1189;683;1233;727
A10;1000;562;235;317;380;348
A10;1000;562;828;318;963;348
A10;1536;1097;0;143;1536;1097
A10;5770;3847;2756;366;2996;544
A10;5770;3847;2609;795;2844;964
A10;5520;3680;0;0;4897;2129
A10;1000;665;779;321;911;508
A10;1000;665;99;251;294;585
A10;4096;2726;29;199;4064;2059
A10;1662;1108;1318;556;1406;574
A10;900;1200;500;679;524;694
A10;2754;1929;558;1055;813;1271
A10;1024;683;0;224;883;523
A10;1000;1000;746;323;925;371
A10;4800;2703;3547;2238;3805;2487
A10;4800;2703;2916;2237;3176;2487
A10;1947;1296;0;253;1947;1296
A10;4800;2703;2589;2237;2856;2486
A10;4800;2703;1958;2235;2221;2485
A10;4800;2703;1638;2231;1901;2482
A10;4800;2703;1030;2256;1297;2507
A10;1278;828;112;474;355;665
A10;1279;695;161;74;1234;369
A10;1200;900;435;530;885;668
A10;4096;2304;3316;805;3573;1100
A10;4096;2733;2429;1059;2856;2015
A10;1280;853;244;160;1280;663
A10;1920;1080;908;216;1068;283
A10;1920;1080;942;276;1060;321
A10;1200;800;349;134;420;315
A10;843;1499;28;453;91;469
A10;843;1499;340;451;399;468
A10;843;1499;28;1108;135;1138
A10;4800;2703;4500;2246;4763;2495
A10;843;1499;172;1112;279;1148
A10;698;395;0;100;698;395
A10;2048;1365;1091;162;1754;1023
A10;3600;2403;2439;1013;2673;1197
A10;3600;2403;2670;1133;2927;1330
A10;3600;2403;2947;1273;3239;1492
A10;2048;1462;0;0;1949;1462
A10;1829;2560;623;165;776;404
A10;1869;1371;659;214;1321;372
A10;1080;667;463;133;627;181
A10;4980;2976;365;1321;2635;1994
A10;1280;720;34;145;661;412
A10;3718;1933;329;1815;395;1884
A10;1920;1080;584;448;663;576
A10;2048;1152;1684;256;1742;344
A10;1920;1080;1054;395;1404;485
A10;1200;675;455;194;998;458
A10;1440;809;667;197;763;217
A10;2707;1764;180;520;2125;1163
A10;3312;1907;310;1244;543;1302
A10;1815;1200;288;602;1529;985
A10;2048;1365;0;407;1311;901
A10;1200;800;394;408;783;497
A10;3600;2403;2221;905;2436;1072
A10;2386;1672;195;12;350;172
A10;2386;1672;359;1441;519;1597
A10;5616;3744;2696;1701;2843;1796
A10;1600;1067;220;421;496;483
A10;3793;1951;1353;1520;1395;1558
A10;3793;1951;1301;1487;1342;1527
A10;3793;1951;1232;1605;1275;1649
A10;3793;1951;1408;1551;1450;1591
A10;3793;1951;1245;1458;1286;1497
A10;3793;1951;1284;1637;1329;1678
A10;3793;1951;1342;1663;1384;1705
A10;3793;1951;1178;1575;1220;1617
A10;3793;1951;1902;162;1945;202
A10;3793;1951;1471;1587;1513;1624
A10;3793;1951;1396;1700;1440;1742
A10;1200;797;415;314;596;431
A10;4059;2124;1443;846;3624;1575
A10;2754;1929;80;1043;348;1274
A10;3078;1582;132;179;353;421
A10;764;432;109;160;226;194
A10;1920;1371;894;258;948;480
A10;1920;1080;1031;472;1112;544
A10;2386;1672;522;1317;683;1478
A10;1920;1080;1064;270;1204;349
A10;2048;1364;0;413;853;727
A10;2048;1365;159;0;2048;666
A10;2048;1365;353;411;549;469
A10;2512;1696;470;677;574;756
A10;2048;1152;1392;280;1436;360
A10;3888;2592;1654;1236;1882;1300
A10;3888;2592;1819;1283;2044;1349
A10;2048;1365;657;789;1000;884
A10;960;719;241;264;287;282
A10;960;719;609;159;667;186
A10;660;433;65;127;528;349
A10;1600;1043;163;238;1459;677
A10;1000;668;71;207;656;447
A10;1000;668;921;86;981;101
A10;2048;1366;544;369;848;686
A10;1242;828;600;144;1220;670
A10;900;481;51;134;839;371
A10;784;545;27;50;784;410
A10;784;545;0;290;252;407
A10;999;562;210;132;246;170
A10;1920;1080;1079;353;1185;401
A10;3600;2403;2031;813;2234;968
A10;2048;1365;62;693;219;1030
A10;3600;2403;1568;582;1739;709
A10;2100;1400;947;822;1759;1030
A10;1440;1440;812;141;1177;1175
A10;1200;679;217;147;624;254
A10;1200;679;642;122;974;199
A10;550;827;179;581;368;641
A10;1536;1024;939;476;1065;507
A10;1536;1024;879;514;1171;582
A10;1600;1080;727;451;1036;641
A10;1600;1080;942;282;1207;441
A10;590;1361;276;544;580;714
A10;2506;1699;2055;416;2229;551
A10;4054;2703;2609;870;2738;1009
A10;1280;707;332;166;946;384
A10;1024;683;84;402;239;443
A10;1536;1197;886;497;1269;721
A10;2048;1366;822;834;1023;880
A10;2048;1366;536;813;736;859
A10;5163;3177;3116;673;5140;1719
A10;1800;1200;658;241;1376;583
A10;2048;1366;1384;231;1592;278
A10;1800;1200;176;620;1337;904
A10;1536;734;1132;257;1355;608
A10;597;400;260;120;597;390
A10;1000;1000;279;315;446;363
A10;1000;1000;81;334;263;382
A10;1280;960;0;204;1280;672
A10;3600;2403;1711;646;1888;782
A10;2000;1241;1548;403;1846;982
A10;2000;1241;170;113;568;780
A10;2048;1536;400;666;796;973
A10;1227;1536;341;182;826;1326
A10;3000;2013;648;188;2112;497
A10;3276;2180;29;628;3270;1601
A10;1829;2560;1237;872;1569;2220
A10;1536;1024;186;141;1091;955
A10;1536;864;424;343;461;369
A10;1536;864;1346;151;1394;211
A10;2048;1364;1594;466;1635;511
A10;2048;1364;0;1008;1020;1364
A10;597;400;47;90;304;184
A10;597;400;255;87;448;154
A10;597;400;387;82;533;131
A10;1536;734;161;201;384;532
A10;3573;1944;1571;1645;1654;1730
A10;3276;2180;0;104;3276;1129
A10;1097;1536;619;112;897;901
A10;3600;2403;275;377;407;469
A10;3600;2403;326;420;464;515
A10;3600;2403;381;459;521;557
A10;3600;2403;437;507;581;610
A10;3600;2403;504;557;655;663
A10;3600;2403;573;612;729;723
A10;3600;2403;646;672;809;791
A10;3600;2403;823;808;1000;941
A10;2048;1638;0;510;2021;1170
A10;3600;2403;229;341;356;427
A10;3600;2403;921;890;1105;1030
A10;3600;2403;1163;1075;1366;1239
A10;3600;2403;1306;1182;1515;1360
A10;3600;2403;1465;1305;1688;1493
A10;1000;1000;565;306;704;357
A10;3600;2403;1652;1446;1888;1654
A10;3573;1944;2203;192;2287;276
A10;3600;2403;2366;2004;2674;2282
A10;3600;2403;1859;1607;2114;1831
A10;3600;2403;2091;1795;2371;2044
A10;3600;2403;1036;975;1227;1128
A10;3600;2403;185;305;308;391
A10;2048;1638;1889;817;2048;939
A10;3600;2403;1119;364;1264;469
A10;1536;864;570;0;1536;738
A10;945;2048;87;1337;303;1443
A10;3600;2403;1216;412;1367;520
A10;2449;1645;1516;4;1695;138
